bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
2.2 OD - 20231005 toelichting bij 2e wijziging GR OD IJsselland.pdf;Toelichting bij 2e wijziging Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Wijziging Gemeenschappelijke Regeling;2023-10-05;Omgevingsdienst IJsselland, Provincie Overijssel, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Zwolle;Omgevingswet, Omgevingsbesluit, Wet algemene bepalingen omgevingsrecht (Wabo), Wet gemeenschappelijke regelingen (Wgr), Gemeentewet, Provinciewet, Wnra (Wet normalisering rechtspositie ambtenaren), Besluit tot wijziging van het Besluit omgevingsrecht, Bijdrageverordening;
2.2 OD 20231005 toelichting bij 2e wijziging GR OD IJsselland.pdf;Toelichting bij 2e wijziging GR OD IJsselland;Wijziging Gemeenschappelijke Regeling;2023-10-05;Omgevingsdienst IJsselland, Provincie Overijssel, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Algemeen Bestuur OD IJsselland, Dagelijks Bestuur OD IJsselland;Wet gemeenschappelijke regelingen (Wgr), Omgevingswet, Omgevingsbesluit, Wet algemene bepalingen omgevingsrecht (Wabo), Gemeentewet, Provinciewet, Besluit omgevingsrecht;
2.3 OD - 20231005 geconsolideerde versie GR OD IJsselland.pdf;Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Gemeenschappelijke Regeling;2023-10-05;Omgevingsdienst IJsselland, Provincie Overijssel, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Provinciale Staten, college van gedeputeerde staten, colleges van burgemeester en wethouders;Wet gemeenschappelijke regelingen, Omgevingswet, Omgevingsbesluit, Gemeentewet, Provinciewet;
2.3 OD 20231005 2e wijziging GR OD IJsselland.pdf;2e wijziging van de Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Wijziging GR Omgevingsdienst IJsselland;2023-10-05;Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel, Omgevingsdienst IJsselland;Wet gemeenschappelijke regelingen, Gemeenschappelijke Regeling Omgevingsdienst IJsselland, Omgevingsbesluit, Omgevingswet, Gemeentewet, Provinciewet, Algemene wet bestuursrecht;
2.4 OD - Bijlage bij Gemeenschappelijke Regeling Omgevingsdienst IJsselland.pdf;Bijlage bij Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Omgevingsdienst IJsselland;;Omgevingsdienst IJsselland, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Provincie Overijssel;Gemeenschappelijke Regeling Omgevingsdienst IJsselland, Omgevingsbesluit, Besluit activiteiten leefomgeving, Provinciale milieuverordening;
2.4 OD 20231005 geconsolideerde versie GR OD IJsselland.pdf;Gemeenschappelijke Regeling Omgevingsdienst IJsselland;Gemeenschappelijke Regeling;2023-10-05;Omgevingsdienst IJsselland, Provincie Overijssel, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle;Wet gemeenschappelijke regelingen, Omgevingswet, Omgevingsbesluit, Gemeentewet, Provinciewet;
2.5 OD Bijlage bij Gemeenschappelijke Regeling Omgevingsdienst IJsselland.pdf;Bijlage bij Gemeenschappelijke Regeling Omgevingsdienst IJsselland inzake Basistaken;Gemeenschappelijke Regeling Omgevingsdienst IJsselland;;Omgevingsdienst IJsselland, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Provincie Overijssel;Gemeenschappelijke Regeling Omgevingsdienst IJsselland, Omgevingsbesluit, Besluit activiteiten leefomgeving, provinciale milieuverordening;
2.Jaarverslag 2021 inclusief jaarrekening dd 21-3-2022.pdf;Jaarverslag 2021 inclusief jaarrekening RSJ IJsselland;Jeugdhulp;2022-03-30;RSJ IJsselland, Regio IJsselland, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Michiel van Willigen, Diana Hofsteenge - Jans, Jan Uitslag, Frits Rorink, Alwin te Rietstap, Geert Meijering, Marcel Blind, Ko Scheele, Gerria Toeter, Alwin Mussche, Trijn Jongman, Maarten Slingerland, BVO Jeugdzorg IJsselland, Raad voor de Kinderbescherming, Regionaal Cliëntenplatform Jeugd IJsselland, GGD, Expertisenetwerk Overijssel, Regionaal Extersie Team (RET);Beheersingsplan inkoopmodel 2022 - 2025, Jeugdwet, Gemeenschappelijke Regeling (GR), Begroting 2020, Begroting 2022, Begroting 2023;
2021-11-23 Steenwijk Zuidoost Masterplan.pdf;Stedenbouwkundig Masterplan Steenwijk Zuidoost;Woningbouw;2021-11-23;Gemeente Steenwijkerland, Ministerie van Defensie, Steenwijk Zuidoost, Steenwijk, De Gagels, Kornputkwartier, Meppelerweg, Dennenallee, Steenwijkerkamp, Steenwijker Aa, Sportlust, Betap, Crilux, Logistiek Centrum Steenwijk, Kallenkote;Steenwijk Zuidoost - Aanzet voor een Masterplan (18 juni 2021), omgevingswijzer;
20211216 Notitie kunstgrasvelden anno 2021 en verder.pdf;Notitie kunstgrasvelden anno 2021 en verder;Kunstgrasvelden;2021-12-16;Gemeente Steenwijkerland, Ella Schipper, Berry Waninge, Sander Akkerman, KNVB, FIFA, GBN Artificial Grass Recycling (GBN-AGR), Amsterdam, Re-Match, RIVM, ECHA (Europees Agentschap voor chemische stoffen), RAC (Risk Assessment Committee), SEAC (Socio-Economic Analysis Committee), Europese Commissie (EC), WUR, BSNC, Plantum, ministerie van Infrastructuur & Milieu, ministerie van Economische Zaken, NOC*NSF, VSG, d’Olde Veste in Steenwijk, VHK in Sint Jansklooster, PLANN ingenieurs, Meppel, Portugal;Wet Bodembescherming, Green Deal Sport, REACH (Europese consumenten gebruiksnorm);
2022 10 27 BP Dwarssloot oost 6 Zuidveen.pdf;Ontwerp Bestemmingsplan Dwarssloot oost 6, Zuidveen;Bestemmingsplan / Woningbouw;2022-10-27;Dwarssloot oost 6, Zuidveen, Steenwijk, Onnigemeer, gemeente Steenwijkerland, gemeente Steenwijk, provincie Overijssel, Twente, West-Overijssel;brief van 28 juli 2021, Beheersverordening Buitengebied Steenwijkerland 2014, correctieve herziening beheersverordening Buitengebied (25 mei 2021), Rijkstructuurvisie Infrastructuur en Ruimte (SVIR) (13 maart 2012), Besluit algemene regels ruimtelijke ordening (Barro), Provinciale Omgevingsvisie 2021, Provinciale Omgevingsverordening 2017, Regionale woonagenda West-Overijssel, Woonvisie Steenwijkerland 2017-2021, Visie op wonen en leefbaarheid – duurzaam vitaal (2012);
2022-03-09 Ontwikkelperspectief Bedrijventerreinen  STEC.pdf;Verkenning ruimtebehoefte bedrijventerreinen;Bedrijventerreinen;2022-03-09;Gemeente Steenwijkerland, Stec Groep, Juriën Poulussen, Anneloes Bouma, Business Club Steenwijkerland (BCS), Panattoni, Kornelis Caps & Closures, Agrifac Machinery BV, CPB, PBL, Economisch Instituut voor de Bouw (EIB), Blokzijl, Giethoorn, Heetveld, Kuinre, Scheerwolde, Ossenzijl, Oldemarkt, Steenwijk, Vollenhove, Meppel, Zwolle, Noordoostpolder, Weststellingwerf, Zwartewaterland, Heerenveen, Westerveld, Apeldoorn, Kampen, Groningen, Almere, Broekhuizen, De Friese Meren, De Wolden, Bedrijventerrein Eeserwold;Provinciale behoefteraming bedrijventerreinen (2019), Regionale programmeringsafspraken, Werkgelegenheidsprognoses Welvaart en Leefomgeving (WLO);
2022-12-13 Laddertoets uitbreiding bedrijventerrein Vollenhove.pdf;Laddertoets uitbreiding bedrijventerrein Vollenhove (Schaarkampen-Zuid);Bedrijventerreinen;2022-12-13;Stec Groep, Juriën Poulussen, Marijn Gradussen, gemeente Steenwijkerland, Vollenhove, Schaarkampen-Zuid, De Kampen, Meppel, Steenwijk, provincie Overijssel, West-Overijssel, bedrijvenpark Eeserwold, Blokzijl, Belt-Schutsloot, Zwartewaterland, De Fryske Marren, Sint Jansklooster, Heetveld, CBS, PBL;Besluit ruimtelijke ordening (Bro), Beheersverordening Buitengebied Steenwijkerland 2014, ABRvS 29 april 2015, ECLI:NL:RVS:2015:1340, Regionale programmeringsafspraken werklocaties (2019), Verhuizingen van bedrijven en groei van werkgelegenheid, Ruimtelijk Planbureau, 2007;
2022.Verordening leerlingenvervoer gemeente Steenwijkerland.concept.pdf;Verordening leerlingenvervoer gemeente Steenwijkerland 2022;Leerlingenvervoer;2022-05-31;Gemeente Steenwijkerland, Gemeenteraad Steenwijkerland, College van burgemeester en wethouders, Samenwerkingsverband VO, VNG, OOGO;Voorstel van burgemeester en wethouders van 31 mei 2022, Wet op het primair onderwijs, Wet op de expertisecentra, Wet op het voortgezet onderwijs, Algemene wet inzake rijksbelastingen, VNG brief Bedragen leerlingenvervoer VNG, Ondersteuningsplan samenwerkingsverband;
20220412 aanbiedingsbrief ontwerpbegroting 2023 en jaarstukken 2021.pdf;Aanbiedingsbrief ontwerpbegroting 2023 en jaarstukken 2021 OD IJsselland;Zienswijze GR;2022-04-12;Omgevingsdienst IJsselland, Provincie Overijssel, Veiligheidsregio, GGD, Regionaal Serviceteam Jeugd, Ministerie van Binnenlandse Zaken en Koninkrijksrelaties, Maarten Offinga, Jurjen Bos, Zwolle;Brieven inzake programma 'Samen Toekomstbestendig' d.d. 14 april, 2 juli en 15 oktober 2021;
2023 01 24 Noordermaten fase - Toelichting Grex def.pdf;Toelichting grondexploitatie Noordermaten fase 4 Blokzijl;Grondexploitatie / Woningbouw;2023-01-24;Gemeente Steenwijkerland, Blokzijl, Noordermaten fase 3, Noordermaten fase 4, Roelofsgroep, Verbindingskanaal, Burgemeester Coldeweyweg, Burgemeester Van Ommerenweg, Vollenhoofsedijk, Europese Centrale Bank;Bestemmingsplan Noordermaten 3e en 4e fase (13 juli 2006), Verkaveling Noordermaten fase 4 (inclusief grondbalans), Roelofsgroep (25-11-2022), Uitwerkingsplan Noordermaten 4 (12 december 2022), Programmabegroting 2023;
20230412 DB beslisnota ontwerpbegroting 2024-1 (1).pdf;Beslisnota ontwerpbegroting 2024;Begroting;2023-04-11;Dagelijks Bestuur, Jan Badenhop, J.M. Vroomen, P.J. van Zanten, M.W. Offinga, Algemeen Bestuur, Provinciale Staten, gemeenteraden, Omgevingsdienst IJsselland;Ontwerpbegrotingswijziging 2023, Kadernota 2024, Wet gemeenschappelijke regelingen, Gemeenschappelijke Regeling Omgevingsdienst IJsselland, Financiële Verordening Omgevingsdienst IJsselland;
20230412 DB beslisnota ontwerpbegrotingswijziging 2023-1 (1).pdf;Ontwerpbegrotingswijziging 2023;Begrotingswijziging;2023-04-11;Jan Badenhop, Trâm Havinga, M.W. Offinga, P.J. van Zanten, Dagelijks Bestuur (DB), Algemeen Bestuur (AB), Omgevingsdienst IJsselland, IJVI (IJssellandse VTH-voorziening), Gemeente Dalfsen, Gemeente Ommen, Gemeente Steenwijkerland, Gemeente Zwolle, Provinciale Staten, Ministerie van I&W, Rijksdienst voor Ondernemend Nederland, Talentenregio;Begroting 2023, Programma Samen Toekomstbestendig (STB), Kadernota 2024, DB vergadering van 19 januari 2023;
20230412 Ontwerpbegroting 2024 OD IJsselland-2 (1).pdf;Ontwerpbegroting 2024 Omgevingsdienst IJsselland;Begroting;2023-04-12;Omgevingsdienst IJsselland, IJVI, M. Offinga, P.J. van Zanten, Provincie Overijssel, Rijksoverheid, RVO, ministerie van IenW, GGD, Openbaar Ministerie, Politie, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Veiligheidsregio;Programma Samen Toekomstbestendig, Besluit Omgevingsrecht, Omgevingswet, Wet kwaliteitsborging voor het bouwen (Wkb), Wet elektronische publicaties (Wep), Besluit CO2-reductie werkgebonden personenmobiliteit, Klimaatakkoord, Activiteitenbesluit, Wet bodembescherming (Wbb), Besluit Uniforme Saneringen (BUS), Kadernota 2024, Begrotingswijziging 2023;
20230412 Ontwerpbegrotingswijziging 2023 OD IJsselland-1.pdf;Ontwerpbegrotingswijziging 2023 OD IJsselland;Financiën en Begroting;2023-04-12;Omgevingsdienst IJsselland, Gemeente Dalfsen, Gemeente Ommen, Gemeente Steenwijkerland, Gemeente Zwolle, Provincie, Ministerie van I&W, Rijksdienst voor Ondernemend Nederland, Algemeen Bestuur, Dagelijks Bestuur, Ondernemingsraad, Talentenregio, IJVI;Begroting 2023, Programma Samen Toekomstbestendig (STB), Kadernota 2024, DB-besluit (DB vergadering van 19 januari 2023), SPUK IBP, SPUK Energie;
20230412 Voorlopig jaarverslag 2022 OD IJsselland.pdf;Concept Jaarverslag 2022 Omgevingsdienst IJsselland;Jaarverslag;2023-04-12;Omgevingsdienst IJsselland, veiligheidsregio, GGD, RSJ, Maarten Offinga, Pieter-Jan van Zanten, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Provincie Overijssel, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Omgevingsdienst Twente, Omgevingsdienst NL, Tijs de Bree, Martijn Oosterbaan, RIVM, Openbaar Ministerie, politie Oost-Nederland, waterschap Drents Overijsselse Delta, waterschap Vechtstromen, team ketentoezicht Gelderse omgevingsdiensten, KetenInterventieTeam, Landelijke Milieukamer, Nederlandse Voedsel- en Warenautoriteit;Interbestuurlijk Programma VTH (IBP-VTH), Omgevingswet, Wet gemeenschappelijke regelingen, Nationaal Samenwerkingsprogramma Luchtkwaliteit (NSL), Plan van aanpak Overijsselse harmonisatie ZZS;
20230413 Aanbiedingsbrief jaarstukken OD IJsselland.pdf;Aanbieden stukken jaarcyclus Omgevingsdienst IJsselland;Zienswijze GR;2023-04-13;Omgevingsdienst IJsselland, Maarten Offinga, Jurjen Bos, Ministerie van Binnenlandse Zaken en Koninkrijksrelaties, Zwolle;Ontwerpbegroting 2024, Ontwerpbegrotingswijziging 2023, Voorlopige jaarrekening 2022, Voorlopig jaarverslag 2022, Kadernota 2024, VTH-jaarplan 2024, Begroting 2023;
20230516 aanbiedingsbrief gemeenten jaarverslag en jaarrekening 2022.pdf;Aanbiedingsbrief jaarverslag en jaarrekening 2022 RSJ IJsselland;Jaarstukken GR RSJ IJsselland;2023-05-16;Gemeenschappelijke Regeling (GR) Bedrijfsvoeringsorganisatie (BVO) Regionaal Service Team IJsselland (RSJ IJsselland), Bestuurlijk Overleg van RSJ IJsselland, Gedeputeerde staten, Michiel van Willigen, Ellen Wichard, Zwolle;Jaarverslag en jaarrekening 2022, Wet gemeenschappelijke regelingen (Wgr), Kadernota;
20230516 aanbiedingsbrief gemeenteraden jaarplan met begroting 2024.pdf;Aanbiedingsbrief jaarplan met begroting 2024 RSJ IJsselland;Begroting GR RSJ IJsselland;2023-05-16;RSJ IJsselland (Regionaal Serviceteam Jeugd IJsselland), Bestuurlijk Overleg van RSJ IJsselland, Provincie, Michiel van Willigen, Ellen Wichard, Zwolle;Jaarplan met begroting 2024 RSJ IJsselland, Jeugdwet, Wet Gemeenschappelijke Regelingen (Wgr);
20230614 Advies ASD op het concept gezondheidsbeleid.pdf;Advies concept gezondheidsbeleid;Gezondheidsbeleid;2023-06-14;College van Burgemeester en Wethouders, Gemeente Steenwijkerland, T. Jongman, J. Dam, Steenwijk, Adviesraad Sociaal Domein (ASD), Mariska Zwartsenburg, Colin de Heijink, Kimberly de Jonge;Concept gezondheidsbeleid, Gezondheidsmonitor, Bewegingsrichtlijn 2017, Uitnodiging van 10 mei;
20230628_was-wordt-mv_toeristenbelasting.pdf;Was-wordt-tabel wijziging Modelverordening Toeristenbelasting;Toeristenbelasting;2023-06-28;Vereniging van Nederlandse Gemeenten;Modelverordening Toeristenbelasting, Wet algemene bepalingen omgevingsrecht, Omgevingswet, Wet kwaliteitsborging voor het bouwen;
20232145 Akoestisch onderzoek bestemmingsplan Ds. T.O. Hylkemaweg 42 Giethoorn.pdf;Akoestisch onderzoek bestemmingsplan Ds. T.O. Hylkemaweg 42 te Giethoorn;Bestemmingsplan;2023-12-21;Omgevingsrecht Zuidema B.V., M. Sollie-van 't Hag, Ingenieursbureau Spreen, W. Spreen, Ds. T.O. Hylkemaweg 42, Hylkemaweg 43, Giethoorn, Restaurant 't Achterhuus, Omgevingsdienst IJsselland;VNG publicatie Bedrijven en milieuzonering, Activiteitenbesluit, Handleiding meten en rekenen industrielawaai 1999, Circulaire industrielawaai uit 1979;
2024-01-26 Saneringsplan PFAS-verontreiniging Woningbouwlocatie Steenwijk-Zuidoost (2).pdf;Saneringsplan PFAS-verontreiniging Woningbouwlocatie Steenwijk-Zuidoost;Woningbouw en Bodemsanering (PFAS);2024-01-26;Gemeente Steenwijkerland, Steenwijk-Zuidoost, Meppelerweg 101-103, Royal HaskoningDHV (HaskoningDHV Nederland B.V.), Rotij Grondontwikkeling Oost B.V., Woonconcept, Grondslag, Verto, Gebroeders van Heugten, Heuga, Betap, Crilux, Sigma Bouw & Milieu, Oranjewoud, EcoReest, MOS Grondmechanica, Boluwa Eco Systems BV, Witteveen+Bos, RIVM, Kornputkwartier;Zorgplichtanalyse PFAS verontreiniging Meppelerweg 101-103 Steenwijk (Grondslag, maart 2023), Verkennend milieukundig bodemonderzoek en verkennend onderzoek asbest in grond Crilux locatie aan de Meppelerweg te Steenwijk (Sigma Bouw & Milieu, 28-02-2022), Aanvullend bodemonderzoek van de bovengrond op PFAS-stoffen Criluxlocatie aan de Meppelerweg te Steenwijk (SIGMA, 08-09-2022), Nulonderzoek Meppelerweg 103 te Steenwijk (Royal Haskoning, maart 1995), Verkennend en aanvullend bodemonderzoek terrein Meppelerweg 101 te Steenwijk (Oranjewoud, 1999), AP04 grondwal (Grondslag BV, 6 december 2001), Verkennend en actualiserend bodemonderzoek Meppelerweg 101 te Steenwijk (Oranjewoud, 7 december 2004), Verkennend en aanvullend bodemonderzoek Meppelerweg te Steenwijk (Royal Haskoning, 2004/2005), Verkennend bodemonderzoek Meppelerweg 103 te Steenwijk (EcoReest, 22-11-2005), Verkennend onderzoek slib vijver (Royal Haskoning, 26-06-2006), Nader onderzoek asbest (Royal Haskoning, 17-07-2007), Verkennend onderzoek smeerkuil en silo (Royal Haskoning, 27-08-2007), Milieukundig bodemonderzoek a/d Meppelerweg 101, 103 en 103a te Steenwijk (MOS Grondmechanica, 31-01-2008), Evaluatierapport sanering Meppelerweg 103 te Steenwijk (Boluwa Eco Systems BV, 08-02-2008), Praktijkgericht saneringsonderzoek Kornputkwartier (Witteveen+Bos, 9 november 2023), Concept-rapport aanvullend nader bodemonderzoek naar PFAS, Meppelerweg 101-103 te Steenwijk (Grondslag, 7 december 2023);
2024-08 Verordening tot wijziging van de Verordening Starterslening gemeente Steenwijkerland 2022.pdf;Wijziging van Verordening starterslening gemeente Steenwijkerland 2022;Starterslening;2024-08-27;Gemeente Steenwijkerland, SVn, NHG, A. ten Hoff, J.H. Bats;Voorstel van burgemeester en wethouders van 27 augustus 2024, Verordening starterslening gemeente Steenwijkerland 2022, Verordening starterslening Steenwijkerland 2018;
20240620 Verordening selectieve toelating Steenwijkerland.pdf;Verordening selectieve toelating Steenwijkerland;Verkeersregulering en ontheffingen;2024-06-20;Gemeente Steenwijkerland, College van burgemeester en wethouders, Politie;Verordening selectieve toelating binnenstad Steenwijk d.d. 2 juni 2009, Legesverordening van de gemeente Steenwijkerland, Wegenverkeerswet 1994 (WVW), Reglement verkeersregels en verkeerstekens 1990 (RVV), Algemene wet bestuursrecht, Wet administratiefrechtelijke handhaving verkeersvoorschriften;
20240624 Memo samenvatting participatie.pdf;Memo Samenvatting Participatie Camerahandhaving Binnenstad;Camerahandhaving;2024-06-25;College van Burgemeester en Wethouders, Inge Meindertsma, Gert Ekkelenkamp, Thomas Otterman, Steenwijk, Gemeente Steenwijkerland, Politie, Justitie, Boa's;Concept ontheffingenbeleid, DPIA;
20250404 Beleidsplan BO Wegen & Paden (publ versie).pdf;Beleidsplan Beheer en Onderhoud Wegen & Paden Steenwijkerland;Wegen en Infrastructuur;2025-04-04;Steenwijkerland, CROW, provincie Overijssel, Steenwijk-stad, Rijk, A32;Klimaat- en Duurzaamheidsambities (2024), Actieplan Veilige Bermen, Kernnet Fiets;
20250414 aanbiedingsbrief raden en Staten owb 2026 en jaarstukken 2024 ODIJS.pdf;Aanbiedingsbrief ontwerpbegroting 2026 en jaarstukken 2024 Omgevingsdienst IJsselland;Zienswijze GR (Omgevingsdienst IJsselland);2025-04-14;Omgevingsdienst IJsselland (ODIJS), 11 gemeenten in IJsselland, Provincie Overijssel, Rijk, IPO, VNG, Ministerie van Binnenlandse Zaken en Koninkrijksrelaties, M.W. (Maarten) Offinga, J.H. (Jurjen) Bos, Jan Dirk Nijkamp, Zwolle;Procesbrief toekomst Omgevingsdienst IJsselland (18 december 2023), Kaderbrief 2025 Omgevingsdienst IJsselland (19 februari 2024), Informatiebrief ‘Route naar robuuste OD IJsselland’ (14 maart 2024), Kaderbrief 2026 Omgevingsdienst IJsselland (10 februari 2025), AB-besluit ontwikkelroute naar een robuuste Omgevingsdienst IJsselland (19 december 2024), Wet gemeenschappelijke regelingen, Besluit Begroting en Verantwoording provincies en gemeenten, WNT;
20250414 Ontwerpbegroting 2026 Omgevingsdienst IJsselland.pdf;Ontwerpbegroting 2026 Omgevingsdienst IJsselland;Ontwerpbegroting;2025-04-14;Omgevingsdienst IJsselland, 11 gemeenten in IJsselland, Provincie Overijssel, Rijk, IPO, VNG, Algemeen bestuur Omgevingsdienst IJsselland, Maarten Offinga, Jan Dirk Nijkamp, Openbaar Ministerie (OM), Regionale Omgevingstafel IJsselland;Kaderbrief 2026, Besluit algemeen bestuur 19 december 2024, Besluit algemeen bestuur 10 oktober 2024, Landelijke Handhavingsstrategie Omgevingsrecht (LHSO), Specifieke Uitkering Toezicht en Handhaving Energiebesparingsplicht (SPUK-THE), Kaderrichtlijn Water, Richtlijn Industriële Emissies, Wet kwaliteitsborging bouw, Algemene wet bestuursrecht, UVP 2026;
20250423-stikstof berekening-3.0.pdf;Stikstofdepositie onderzoek plan Betap/Crilux Steenwijk;Stikstof;2025-04-23;Roosdom Tijhuis Gebiedsonwikkeling B.V., Kragten, Steenwijk, Meppelerweg, De Wieden, Holtingerveld, Weerribben, Drents-Friese Wold & Leggelderveld, Dwingelderveld;Handreiking Voortoets Stikstof, Porthos einduitspraak, Rendac uitspraak, Stadt Papenburg-arrest, AquaPri-arrest, Decreet over de programmatische aanpak van stikstof;
20250909 advies inzake notitie visie wonen welzijn en zorg 2025 2030.pdf;Advies inzake notitie visie op wonen, welzijn en zorg 2025 - 2030;Wonen, welzijn en zorg;2025-09-10;Adviesraad Sociaal Domein Steenwijkerland, College van Burgemeester en Wethouders, Gemeente Steenwijkerland, T. Jongman, M. Smit, Joke Wierbos, Iris Nauta, Janneke Dam, Bert Beltman, Companen;Notitie Companen, visie op wonen, welzijn en zorg 2025 - 2030, Samen voor Ryan;
2026_RAAD_00006 Regionale Visie Jeugdhulp Ijsselland 2026-2031 - RAADSBESLUIT GETEKEND.pdf;Vaststelling Regionale Visie Jeugdhulp IJsselland 2026-2031;Jeugdhulp;2026-02-10;Gemeente Steenwijkerland, Steenwijk, IJsselland, Burgemeester en wethouders;Voorstel van burgemeester en wethouders van 25-11-2025, nummer 2026-RAAD-00006, Regionale Visie Jeugdhulp IJsselland 2026-2031;
2026_RAAD_00006 Regionale Visie Jeugdhulp IJsselland 2026-2031 - RAADSVOORSTEL.pdf;Regionale Visie Jeugdhulp IJsselland 2026-2031;Jeugdhulp;2026-02-10;Trijn Jongman, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, GGD IJsselland, Expertisenetwerk Jeugd Overijssel, Regionale Kenniswerkplaats Jeugd (RKJ) IJsselland, Regionaal Serviceteam Jeugd (RSJ) IJsselland, Adviesraad Sociaal Domein, Regionaal Expert Team;Regiovisie Jeugdhulp IJsselland 2021-2025, Jeugdwet, Hervormingsagenda Jeugd, Toekomstscenario Kind- en Gezinsbescherming, Transformatieconvenant, Richtinggevend Kader stevige lokale teams, Gezond en Actief Leven Akkoord, Aanvullend Zorg- en Welzijnsakkoord, Wet verbetering beschikbaarheid jeugdzorg;
2026_RAAD_00007 Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling 2026-2030 - RAADSBESLUIT GETEKEND.pdf;Raadsbesluit Regiovisie Huiselijk Geweld en Kindermishandeling 2026-2030;Huiselijk Geweld en Kindermishandeling;2026-02-10;Gemeente Steenwijkerland, Steenwijk;Voorstel van burgemeester en wethouders 2026-RAAD-00007, Regiovisie Huiselijk Geweld en Kindermishandeling 2026-2030 ('Samen tegen huiselijk geweld - Lokaal Sterk');
2026_RAAD_00007 Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling 2026-2030 - RAADSVOORSTEL.pdf;Regiovisie IJsselland Huiselijk Geweld en Kindermishandeling 2026-2030;Huiselijk Geweld en Kindermishandeling;2026-02-10;Team Samenleving, Trijn Jongman, Regio IJsselland, Veilig Thuis, Jeugdbescherming, Jeugdbescherming Overijssel, Politie, Kadera, GGD, Centrum Seksueel Geweld, Centrum Gemeente Zwolle, Adviesraad Sociaal Domein, Bestuurlijk Overleg Huiselijk Geweld & Kindermishandeling;Regiovisie Huiselijk Geweld en Kindermishandeling (HG & KM) 2026–2030 'Samen tegen huiselijk geweld - Lokaal Sterk', Visie ‘Geweld hoort nergens thuis’ (2021–2024), Toekomstscenario Kind- en Gezinsbescherming (TKS), Hervormingsagenda Jeugd, Leidraad Werken aan Veiligheid, Aanpak Voorkomen Escalaties (AVE), Visie Gefaseerd Samenwerken, Regionale agenda Zorg & Veiligheid;
2026_RAAD_00008 Concretiseren programmeringsafspraken met locaties voor windenergie - RAADSBESLUIT GETEKEND.pdf;Concretiseren programmeringsafspraken met locaties voor windenergie;Windenergie;2026-02-10;Gemeente Steenwijkerland, Provincie Overijssel, Groot Verlaat, Johannes Post Kazerne;Voorstel van burgemeester en wethouders van 06-01-2026, nummer 2026-RAAD-00008;
