bijlage 10 Ruimtescan_Tuk Noord en Midden.pdf;Ruimtescan Woningbouw Tuk Noord en Midden;Woningbouw;2025-06-19;Ruimtewerk, bureau BVR, provincie Overijssel, Lars Haverkort, Michiel van der Meer, Ellis Brinkman, N334, Oldemarktsweg, spoorlijn Steenwijk en Wolvega;Afwegingskader wonen en werken Steenwijk 2040, 2024_RAAD_00068 De toekomst van wonen en werken in Steenwijk, Woonagenda Steenwijkerland 2022- 2026, Actualisatie Woondeal West-Overijssel 2025 t/m eind 2030, Regionale woonzorgvisie 2024-2026 West-Overijssel, Ambitiedocument, spoorzone Steenwijk 2040, stadsvisie van Steenwijk, woningbehoefte onderzoek 2021-2032, Verstedelijkingstrategie regio Zwolle, Omgevingsverordening provincie Overijssel, Overijsselse woonaanpak, Omgevingsvisie Overijssel, Waterschapsverordening, Position paper Water en Bodem sturend, Wet versterking regie volkshuisvesting, Nationale prestatieafspraken 2025-2035;Tuk
Bijlage 10a Memo_Uitkomsten_Veldonderzoek_Bodelaeke.pdf;Memo Aanwezigheid oerlaag Bodelaeke;Bodem en Water;2025-02-20;Arcadis Nederland B.V., Jan-Pieter Willemsen, Kees de Vries, Waterresort Bodelaeke, Praja Planbegeleiding, Gemeente Steenwijkerland, Grondradar B.V., Jonenweg, Cornelisgracht, Polder Giethoorn;Arcadis (2010), Arcadis (2024), Grondradar B.V. (2025);Giethoorn
Bijlage 10b Verkenning kwellengte en kwel door ontgraving Bodelaeke.pdf;Geohydrologische effecten waterpartij Bodelaeke;Geohydrologie en Waterbeheer;2024-11-20;Arcadis Nederland B.V., Jan-Pieter Willemsen, Praja planbegeleiding, Waterresort Bodelaeke, Waterschap Drents Overijsselse Delta, TNO, Deltares, Beulakerpolder, Cornelisgracht, De Wieden;Hydrologisch onderzoek De Wieden Fase 2 (Arcadis, 2022), Ondiepe storende laag Plan 'Bodelaeke' (Arcadis, 2010), Onderzoeksrapport Zandmeevoerende Wellen (Deltares, 2012);Giethoorn
bijlage 11 Ruimtescan_Bedrijventerrein Tuk.pdf;Ruimtescan Bedrijventerrein Tuk;Bedrijventerreinen en Ruimtelijke Ontwikkeling;2025-06-19;Ruimtewerk, Lars Haverkort, Michiel van der Meer, Kelley Zenderink, Ellis Brinkman, Provincie Overijssel, Regio Zwolle, Regio West-Overijssel, STEC Groep, Gemeente Meppel, Bureau BVR, CDA;Afwegingskader wonen en werken Steenwijk 2040, Verstedelijkingstrategie Regio Zwolle, Economische Agenda Steenwijkerland 2024-2026, Transitievisie Warmte, Omgevingsverordening provincie Overijssel, Omgevingsvisie provincie Overijssel, Programmeringsafspraken Bedrijventerreinen Regio West-Overijssel 2023 t/m 2026, Regiodeal Regio Zwolle 2024 – 2027, Waterschapsverordening, Position paper Water en Bodem sturend, Verkenning Ruimtebehoefte bedrijventerreinen, 2022 (STEC Groep), Schriftelijke vragen CDA - Economische prestaties Steenwijkerland (2) - beantwoording 20230516.pdf, Economische koers Steenwijkerland 2024;Tuk, Dolderkanaal
bijlage 12 Ruimtescan Woldmeenthe Noord.pdf;Ruimtescan Woldmeenthe Noord;Ruimtelijke ontwikkeling en woningbouw;2025-10-21;Ruimtewerk, Kelley Zenderink, Lars Haverkort, Steenwijker Aa, A32, NS-station, Natura 2000, NNN (Natuurnetwerk Nederland), Waterschap, Provincie, Rijk, Veiligheidsregio;Afwegingskader Wonen en Werken Steenwijk 2040, Catalogus gebiedskenmerken, Ondernemen met natuur & water, NOVEX;Woldmeenthe, Oostermeenthe, Tuk, Baars en de Bult, Steenwijkerwold en Witte paarden
bijlage 13 Ruimtescan Oostermeenthe-Zuid.pdf;Ruimtescan Oostermeenthe-Zuid;Woningbouw;2025-10-23;Gemeente Steenwijkerland, Kelley Zenderink, Lars Haverkort, Ruimtewerk, Waterschap, Provincie, Rijk, Natura 2000, A32, Intercity-station Steenwijk;Afwegingskader Wonen en Werken Steenwijk 2040, NOVEX;Oostermeenthe, Woldmeenthe, Steenwijk Centrum / Binnenstad
bijlage 14 Aanzet ontwikkelstrategie stadsvisie Steenwijk 4-11-2025.pdf;Ontwikkelstrategie Stadsvisie Steenwijk (1e aanzet);Stadsvisie en Ruimtelijke Ontwikkeling;2025-10-28;Spoorzone, De Kamp, Unilocatie, Zuidveen, Steenwijk Noord, Steenwijk Zuid, A32 corridor, Aa (stroomgebied), Provincie, Het Rijk, Regiogemeenten (Hardenberg, Meppel, Hoogeveen, Raalte, Kampen), Novex programma stationsomgevingen, Voetbalverenigingen Parallelweg, Bewonersvereniging, Steenwijk Vestingstad;Stadsvisie Steenwijk, Ambitiedocument spoorzone, Ruimtescans focusgebieden, Ruimtelijk Economische Bouwsteen 2040, Parapluplan (vastgesteld 5 november 2024), Maatregelenboek Stationsomgeving Steenwijk;Steenwijk Centrum / Binnenstad, Oostermeenthe, Tuk, Woldmeenthe
Bijlage 1_20241119 Plan van aanpak Stichting Woonwens Ossenzijl.pdf;Plan van aanpak Betaalbare tijdelijke huurwoningen Ossenzijl;Woningbouw;2024-11-19;Stichting Woonwens Ossenzijl, Werkgroep wonen Ossenzijl, Plaatselijk Belang Ossenzijl (PBO), Grouwels Vastgoed, Wetland Wonen, G.B. Kooijstraat, Provincie (Programma Leefbaar Platteland), Gemeentelijk woningbedrijf IJsselham;;Ossenzijl
Bijlage 1_BW besluit Tolhekke 2014.pdf;Accountantsverklaring Stichting zwembad 't Tolhekke;Subsidieverantwoording;2014-03-25;Stichting zwembad 't Tolhekke, Stichting Peuterspeelzalen Steenwijkerland, Accountantskantoor Reinders en Snijder, Henk Schuitemaker, Jan Knol, S.S. Weistra, Wethouder Van der Terp;Algemene Subsidieverordening Steenwijkerland (artikel 19 lid 3), Besluit inzake Stichting Peuterspeelzalen Steenwijkerland (januari 2013);
Bijlage 2  Verkennend bodemonderzoek.pdf;Verkennend bodemonderzoek Jan Steenstraat te Steenwijk;Woningbouw;2021-06-24;Woonconcept, Eco Reest BV, Jan Steenstraat, Eurofins Analytico B.V.;;
Bijlage 2 - Akoestisch onderzoek wegverkeerslawaai.pdf;Akoestisch onderzoek wegverkeerslawaai Oldemarktseweg 103, Steenwijkerwold;Woningbouw;2022-04-01;Oldemarktseweg 103, BJZ.nu;;Steenwijkerwold en Witte paarden
Bijlage 2 - Financiele toelichting congres Meenthe.pdf;Financiële toelichting Project congresvoorziening De Meenthe;Herontwikkeling / Congresvoorziening De Meenthe;Onbekend;Stichting de Meenthe, Gemeente Steenwijkerland, Onemeeting, VDW adviseurs, VSCD;Financiële verordening 2018 Steenwijkerland, Taxatierapport (VDW adviseurs), Businesscase (bijlage), Theater analyse systeem & jaarverslagen theaters (2019-2020);
Bijlage 2 - Grondtekening (uitgezoomd).pdf;Grondtekening mogelijke opstelling windturbines Oldemarkt;Windturbines;2023-12-14;S.G. Zwerver, Overlendepad, Kerspelweg, Markerbroekweg, Hagenbroekweg, Ossenzijlerweg, Weerdijk, IJsselhammerweg, Pad Driewegsluis, De Merriemaden, Gapenburg, Breeweersepad, Lindedijk, De Lende, Jonkers- of Helomavaort;;Oldemarkt
Bijlage 2 - tekst voorkeursrechtbeschikking.pdf;Bevestiging voorkeursrecht twaalf percelen ten behoeve van windenergieproject te Oldemarkt;Windenergie;2024-03-26;Gemeente Steenwijkerland, De Lende, Ossenzijlerweg;Grondtekening (bijlage 2), Perceellijst (bijlage 3);Oldemarkt
Bijlage 2 - Toelichting Modelbesl opheffing RSJ en 7e wijz GR GGD.pdf;Toelichting Modelbesluit opheffing GR RSJ en 7e wijziging GR GGD IJsselland;Gemeenschappelijke Regelingen;2025-04-09;GGD IJsselland, Regionaal Serviceteam Jeugd IJsselland (RSJ), Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Gedeputeerde staten van de provincie Overijssel;Notitie ‘Samen robuust’ (versie 9 april 2025), Concept liquidatieplan RSJ, Wet verbetering beschikbaarheid Jeugdzorg, Wet gemeenschappelijke regelingen, Jeugdwet, Wet publieke gezondheid, Aanbestedingswet 2012;
Bijlage 2 - Wijzigingsoverzicht subsidieverordening GI.pdf;Wijzigingsoverzicht subsidieverordening GI's;Jeugdzorg;;College, Gecertificeerde Instellingen (GI's), RSJ IJsselland, Nederlandse Zorg Autoriteit (NZA), Regio Twente;Jeugdwet, Toekomstscenario kind- en gezinsbescherming;
Bijlage 2 - Windladder.pdf;Toelichting bij de Overijsselse windladder;Windenergie;2022-11-01;Provincie Overijssel, Natura 2000, NNN-gebieden;Provinciale Omgevingsvisie 2022, Omgevingsverordening 2022, RESsen 1.0, Catalogus Gebiedskenmerken;
Bijlage 2 bij aanbiedingsbrief Raden en Staten overzicht financiele gevolgen en verdeling deelnemers.pdf;Financiële gevolgen ontwerpbegrotingswijziging 2021 en 2022;Financiën en Begroting;;Algemeen Bestuur, Dagelijks Bestuur (DB), Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Provincie Overijssel, Omgevingsdienst (OD);Ontwerpbegrotingswijziging 2021 en 2022, Programma Samen Toekomstbestendig, CAO SGO 2021-2022;
Bijlage 2 bij de regels - Nota parkeernormen.pdf;Nota Parkeernormen 2015 gemeente Steenwijkerland;Parkeren;2017-11-21;CROW, Centraal Bureau voor de Statistiek (CBS);Reparatiewet BZK 2014, ASVV 2012, CROW-publicatie 317;Steenwijk Centrum / Binnenstad, Oldemarkt, Onna, Vollenhove
Bijlage 2 bij de regels - Overzicht huis verbonden beroepen (1).pdf;Overzicht aan huis gebonden beroepen en bedrijven;Ruimtelijke ordening;;Kamers van Koophandel;;
Bijlage 2 bij de regels - Overzicht huis verbonden beroepen.pdf;Overzicht aan huis gebonden beroepen en bedrijvigheid;Bestemmingsplan / Aan huis gebonden beroepen;;Kamers van Koophandel;;
Bijlage 2 bij de toelichting - Bodemonderzoek.pdf;Verkennend bodemonderzoek Bouwplan Bergstein te Tuk;Woningbouw;2021-03-15;Bouwplan Bergstein, Woonconcept, Eco Reest BV, Eurofins Analytico B.V., KIWA;;Tuk
Bijlage 2 Financiele.bijlage.pdf;Financiële bijlage scholenbouw en locatieontwikkeling Vollenhove;Onderwijshuisvesting;Onbekend;St Martinusschool, De Voorpoort, Kompas, KDV, Schoolbesturen, V.E.N.O., VVVV, De Burght;Integraal Huisvestingsplan (IHP), PPN 2025-2029;Vollenhove
Bijlage 2 Kaart ligplaatsverbod.pdf;Kaart ligplaatsverbod vaar- en verhuurbedrijven Giethoorn Zuid;Ligplaatsverbod;2020-08-27;S.G. Zwerver, Bovenwijde, Cornelisgracht, Binnenpad, Beulakerweg, Vosjacht;Tekening 13-00-BH0007_1;Giethoorn
BIJLAGE 2 Kostenverhaal Kostensoortenlijst.pdf;Kostensoortenlijst Omgevingsbesluit;Kostenverhaal;2024-01-01;gemeente, provincie, Staat;Omgevingsbesluit, Omgevingswet;
Bijlage 2 Landschappelijke afweging randweg Blokzijl.pdf;Toelichting tracékeuze randweg Blokzijl;Infrastructuur;2025-11-12;Zuiderzee, Noordoostpolder, Vollenhoofsedijk, Kuinderdijk, Noorderdiep, Havenkolk, Kanaalweg, Provinciale weg N333, Vollenhoverkanaal, Polder Blokzijler Uiterdijken, Zuiderzeeweg;Stadsvisie Blokzijl, Bomeneffectanalyse, Eerdere studies/rapportages (financiële verkenning);Blokzijl
Bijlage 2 Meerjarenlanning Fiets 2024-2027.pdf;Investeringsplanning Fietsplan 2023;Fietsinfrastructuur;Onbekend;Provincie Overijssel, Rijk, BOR, SPV;Kernnet Fiets Overijssel, Verstedelijkingsstrategie, GOW 30km, Toekomstbeeld Gieterse Polder;Giethoorn, Oldemarkt, Oostermeenthe, Ossenzijl, Steenwijk Centrum / Binnenstad
Bijlage 2 Meerjarenplanning Fietsplan 2024-2027 incl. prio.pdf;Meerjarenplanning en prioritering Fietsplan 2024-2027;Fietsplan;2024-01-01;A32, Darp, DUV+V, Havelte, Heerenveen, Meppel, N334, Natura 2000, Rottige Meente, SPV, Weerribben, Zwolle;Kernnet Fiets, Knooppuntenroute, Verstedelijkingsstrategie;Giethoorn, Oldemarkt, Oostermeenthe, Ossenzijl, Paddenpoel en Kornputkwartier, Steenwijk Centrum / Binnenstad, Steenwijkerdiep, Vollenhove
bijlage 2 Participatieverslag_Inloopbijeenkomst 6 mei - Stadsvisie Steenwijk.pdf;Participatieverslag Inloopbijeenkomst Stadsvisie Steenwijk (6 mei 2025);Stadsvisie Steenwijk;2025-05-06;De Kamp;;Steenwijk Centrum / Binnenstad, Woldmeenthe
Bijlage 2 Rapport Museum spijkervetstallen - PvE, inpassingsstudie en financiële uitgangspunten - 20240729.pdf;Programma van Eisen en Inpassingsstudie Nieuw Museum Steenwijk in de Spijkervetstallen;Cultuur en Musea;2024-07-29;Stadsmuseum, Hildo Krop museum, Kermis- en Circusmuseum, Historische vereniging Steenwijk e.o., Galerie Steenwijk, Rijksdienst voor het Cultureel Erfgoed (RCE), Draaijer, Spijkervetstallen;Museumvisie ‘Op weg naar een nieuw museum in Steenwijkerland’, Bouwkundige, bouwhistorische en monumentale rapportages Spijkervetstallen en tuin, Technisch Programma van Eisen - vernieuwing museum in de Spijkervetstallen, Ontwerp inpassingsstudie - vernieuwing museum in de Spijkervetstallen, Energieadvies DUMAVA inclusief DUMO - vernieuwing museum in de Spijkervetstallen;Steenwijk Centrum / Binnenstad
Bijlage 2 Rekenresultaten gebruiksfase.pdf;AERIUS Projectberekening gebruiksfase Leeuwte 47;Stikstof;2023-05-02;BJZ.nu, De Wieden, AERIUS Calculator, Natura 2000;;Sint Jansklooster, Moespot en Leeuwte
Bijlage 2 van de regels - Staat van bedrijven.pdf;Bijlage 2: Staat van bedrijfsactiviteiten;Beheersverordening Buitengebied;2013-06-18;;beheersverordening Buitengebied Steenwijkerland, Wet milieubeheer, Inrichtingen- en Vergunningenbesluit (IVB), besluit externe veiligheid inrichtingen, vuurwerkbesluit;
Bijlage 2 van de toelichting - verkennend bodemonderzoek Jan van Nassauweg 12 Giethoorn.pdf;Verkennend bodemonderzoek Jan van Nassauweg 12 Giethoorn;Bestemmingsplanwijziging;2022-04-01;Jan van Nassauweg 12, Melkveebedrijf Batenburg, Rensen Milieu Advies, AvA Milieuonderzoek, Poelsema Veldwerkbureau, Zagros Zuivel;;Giethoorn
Bijlage 2 van de toelichting.pdf;Onderbouwing Beulakerweg 23;Ruimtelijke ontwikkeling;2023-07-25;Beulakerweg 23, Natura 2000;;Giethoorn
Bijlage 2 Voorstel voor de kaders voor het Duurzaamheidsfonds .pdf;Voorstel voor kaders voor Duurzaamheidsfonds;Duurzaamheid;;Kamer van Koophandel, Provincie Overijssel, Ontzorgingsprogramma Maatschappelijk Vastgoed, Sport NL Groen, College;Motie 2022-RAAD-00041 (Samen sterk: Integraal beleid voeren op accommodaties van (sport)verenigingen), ASV (Algemene Subsidieverordening);
Bijlage 2- Programmabegroting 2023 GGD IJsselland.pdf;Programmabegroting 2023 en Meerjarenraming 2024-2026 GGD IJsselland;Programmabegroting GGD;2022-04-01;GGD IJsselland, Gedeputeerde Staten van de provincie, Michiel van Willigen (Voorzitter), Rianne van den Berg (Secretaris);Ontwikkelingenbrief 2023, Bestuursagenda 'Beweging van uit eigen regie';
Bijlage 2- Uitwerking bijeenkomst 18 april 2023.pdf;Uitwerking bijeenkomst gezondheidsbeleid;Gezondheidsbeleid;2023-04-18;GGD IJsselland, woningbouwcoöperaties, huisartsen, GGD, GGZ, sociaal werk;gezondheidsmonitors van de GGD IJsselland;
Bijlage 2. AERIUS-berekeningen.pdf;AERIUS-berekening aanlegfase 11 woningen Scheerwolde;Stikstof;2020-01-21;Gemeente Steenwijkerland;;Scheerwolde
Bijlage 2. Toelichting centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht.pdf;Toelichting centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht;Beschermd wonen en maatschappelijke opvang;;Regio IJssel-Vecht, Gemeente Zwolle, Zwolse gemeenteraad, Rijk, Bestuurlijk overleg GR;Norm voor Opdrachtgeverschap (NvO), Dienstverleningsovereenkomst, Afspraken uit 2016;
Bijlage 2. Watertoets.pdf;Uitgangspuntennotitie Watertoets Kanaaldijk 5 Giethoorn;Bestemmingsplanwijziging;2021-06-21;Waterschap Drents Overijsselse Delta, Kanaaldijk 5, Provincie Overijssel, Provincie Drenthe;Waterbeheerplan 2016-2021, Beleidsnotitie stedelijk waterbeheer Water Raakt! (2015), Waterwet, Besluit ruimtelijke ordening (artikel 3.1.1);Giethoorn
bijlage 2.1  Ontwerp inpassingsstudie - vernieuwing museum in de Spijkervetstallen.pdf;Schetsontwerp locatie Kalverstraat 11 te Steenwijk;Vernieuwing museum;2024-07-26;Gemeente Steenwijkerland, ar|chitectuur, Arjon Ringerwöle, Kalverstraat 11, Spijkervetstallen;;Steenwijk Centrum / Binnenstad
bijlage 2.2 - Energieadvies DUMAVA inclusief DUMO - vernieuwing museum in de Spijkervetstallen.pdf;Energieadvies Spijkervetstallen;Verduurzaming en DUMAVA-subsidie;2024-05-29;Spijkervetstallen (Kalverstraat 11), Gemeente Steenwijkerland, Exploitatie Partners BV, Dijkoraad, D. Frikken, E.K.R. Rijpstra-Pranger, G. van den Berg, Bas Zomer;DUMO onderzoek Dijkoraad (Bijlage 2);Steenwijk Centrum / Binnenstad
Bijlage 2a - Modelwijzigingsbesluit BenW opheffing GR RSJ en 7e wijziging GR GGD - concept voorjaar 2025.pdf;Modelbesluit B&W opheffing GR RSJ IJsselland en 7e wijziging GR GGD IJsselland;Gemeenschappelijke Regelingen;2025-04-24;GGD IJsselland, RSJ IJsselland, Regionaal Serviceteam Jeugd, Provincie Overijssel, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle;voorstel van het dagelijks bestuur van GGD IJsselland en het bestuur van RSJ IJsselland d.d. 24 april 2025, notitie ‘Samen robuust’ - Uitwerking richtinggevend bestuursbesluit tot verkenning fusie RSJ en GGD IJsselland (versie 9 april 2025), concept-liquidatieplan voor het Regionaal Serviceteam Jeugd IJsselland;
Bijlage 2b - Toelichting Modelbesluit opheffing RSJ en 7e wijziging GR GGD tbv besluit en zienswijze voorjaar 20.pdf;Toelichting Modelbesluit opheffing GR RSJ IJsselland en 7e wijziging GR GGD IJsselland;Zienswijze GR;2025-04-09;GGD IJsselland, Regionaal Serviceteam Jeugd IJsselland (RSJ), Provincie Overijssel (Gedeputeerde Staten), Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Zwartewaterland, Gemeente Zwolle;Notitie 'Samen robuust' - Uitwerking richtinggevend bestuursbesluit tot verkenning fusie RSJ en GGD IJsselland (versie 9 april 2025), Concept liquidatieplan RSJ, Wet verbetering beschikbaarheid Jeugdzorg, Wet gemeenschappelijke regelingen, Wet publieke gezondheid, Jeugdwet, Aanbestedingswet 2012;
Bijlage 2cGGD - concept GR GGD IJsselland (met 7e wijziging).pdf;Concept Gemeenschappelijke Regeling GGD IJsselland;Zienswijze GR;2025-04-09;GGD IJsselland, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel, RSJ Regionaal serviceteam jeugd;Wet gemeenschappelijke regelingen, Aanbestedingswet 2012, Algemene wet bestuursrecht, Jeugdwet, Wet Publieke Gezondheid, Wet Kinderopvang, Wet op de lijkbezorging, Gemeentewet;
Bijlage 2cRSJ - Liquidatieplan RSJ.pdf;Liquidatieplan RSJ IJsselland;Opheffing en liquidatie GR RSJ IJsselland;2025-04-04;GGD IJsselland, Regionaal Serviceteam Jeugd (RSJ) IJsselland, Michiel van Willigen, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle;7e wijziging GR GGD IJsselland, Collegevoorstel tot opheffing van de gemeenschappelijke regeling Bedrijfsvoeringsorganisatie Regionaal Serviceteam Jeugd IJsselland, Document 'Samen robuust', Gemeenschappelijke regeling RSJ IJsselland (artikel 26), Regiovisie, Hervormingsagenda jeugd;
Bijlage 2_Staturen__oorspronkelijk_WoonWens (geanonimiseerd).pdf;Oprichting en statuten Stichting WoonWens Ossenzijl;Sociale woningbouw;2024-05-02;Stichting WoonWens Ossenzijl, Em Marjan Klazien Kroek (notaris);;Ossenzijl
Bijlage 3  Activiteitenplan sloop.pdf;Activiteitenplan sloop complex 389.02, Steenwijk;Sloop en Woningbouw;2021-05-18;Woonconcept, Ecogroen bv, Rijksdienst voor Ondernemend Nederland, Zwolle;Wet natuurbescherming, Habitatrichtlijn, Flora- en Faunawet;
Bijlage 3 - Bodemonderzoek.pdf;Verkennend bodemonderzoek Oldemarktseweg 103 te Steenwijkerwold;Woningbouw;2022-05-31;Oldemarktseweg 103, BJZ.nu, Dumea Milieu, Terra Agribusiness, Normec;Vergunning Wet Milieubeheer 1997, Oprichtingsvergunning 1982, Aanvraag Wet Milieubeheer 2001;Steenwijkerwold en Witte paarden
Bijlage 3 - Brief aan colleges en raden toezending wijziging GR GGD en opheffing RSJ voor zienswijze april 2025.pdf;Onderbrengen RSJ IJsselland bij GGD IJsselland;Zienswijze GR;2025-04-24;GGD IJsselland, RSJ IJsselland, M.W.J. van Willigen, A. Schulting, G. Pruim;Notitie 'Samen robuust', Concept modelbesluit colleges tot opheffing van de GR RSJ IJsselland en de zevende wijziging van de Gemeenschappelijke regeling GGD IJsselland, Concept toelichting op het modelbesluit, Concept-versie aangepaste gemeenschappelijke regeling GGD IJsselland, Concept-liquidatieplan van RSJ IJsselland d.d. 4 april 2025, Wet elektronische publicaties (Wep);
Bijlage 3 - concept GR GGD IJsselland (met 7e wijziging) juli 2025.pdf;Concept Gemeenschappelijke Regeling GGD IJsselland (met 7e wijziging);Gemeenschappelijke Regelingen;2025-07-10;GGD IJsselland, RSJ, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle, Provincie Overijssel;;
Bijlage 3 - Grondtekening.pdf;Grondtekening percelen Oldemarkt e.o. inzake mogelijke opstelling windturbines;Windenergie;2023-12-14;S.G. Zwerver, Ossenzijlerweg, Markerbroekweg, Gapenburg, IJsselhammerweg, Overlendepad, Kerspelweg, Hagenbroekweg, Weerdijk, De Lende;;Oldemarkt
Bijlage 3 - Indiener 1 en 3 (1).pdf;Zienswijzen Indiener 1 en 3 inzake windmolens;Windenergie;;Indiener 1, Indiener 3;;
Bijlage 3 - Perceellijst.pdf;Perceellijst bij beslissing op bezwaar voorkeursrechtbeschikking;Voorkeursrechtbeschikking;2024-07-17;Gemeente Steenwijkerland, Bezwaarschriftencommissie, Martin Hageman, Bert Hageman, Coöperatieve Rabobank U.A., Aleida Christina Maria van den Hengel, Harm Thomas, De Diaconie Der Hervormde Gemeente Te Oldemarkt-Paasloo, De Kerkvoogdij Der Hervormde Gemeente Te Oldemarkt-Paasloo, Jacob van Veen, Willem van Veen, Frederik Martijn de Haan, Mattheus Bernardus Andreas ter Schure, Rob Bats, Annet ten Hoff;bijlage 5 - raadsbesluit voorkeursrecht 2024-RAAD-00010, bijlage 1 (grondtekening), bijlage 2 (grondtekening);Ijsselham, Oldemarkt, Paasloo en de Basse
Bijlage 3 - Publieksjaarverslag 2024.pdf;Publieksjaarverslag 2024 GGD IJsselland;Gezondheid en Zorg;2024-12-31;GGD IJsselland, Astrid Schulting, Michiel van Willigen, Proscoop, Ingrid van der Veen, Henk Bloten, 113 zelfmoordpreventie, Rob de Geest, Marleen Engelbarts, Gemeente Deventer, Go Ahead Eagles, De Stentor;Integraal Zorgakkoord (IZA), Gezond en Actief Leven Akkoord (GALA);
Bijlage 3 - Vergelijking 8 scenarios museumproject.pdf;Overzicht scenario's Museum Steenwijk;Museumproject;2022-09-01;Blueyard, Dijkoraad, Hildo Krop Museum, Historische Vereniging, Rams Woerthe, Spijkervetstallen, Stadsmuseum, VVV, Nationaal Park Weerribben Wieden;Masterplan nieuw museum (december 2021), Haalbaarheidsonderzoek, Ontwikkeling Stationsgebied, Visie impuls ontwikkeling deelgebied Binnenstad, Verstedelijkingsstrategie Steenwijk;Steenwijk Centrum / Binnenstad
Bijlage 3 Algemene uitgangspunten voor vertaling van de kaders naar een regeling.pdf;Uitgangspunten regeling Noodfonds en Duurzaamheidsfonds;Subsidies;;Maatschappelijke organisaties, Gemeenteraad, College van burgemeester en wethouders;Algemene subsidieverordening (ASV) gemeente Steenwijkerland 2018, Wet Markt en Overheid;
Bijlage 3 bij de toelichting - Ecologisch onderzoek.pdf;Quickscan Wet natuurbescherming nieuwbouw De Erfgenamen te Tuk;Woningbouw;2021-03-15;Woonconcept, Eco Reest BV, Provincie Overijssel, De Erfgenamen, Wethouder Zeefatstraat, Wethouder Slootstraat;;Tuk
Bijlage 3 Ligplaatsenkaart.pdf;Ligplaatsenkaart Woonschepenverordening Steenwijkerland;Woonschepen en Ligplaatsen;2008-12-11;D. Tromp, Banningh;Woonschepenverordening Steenwijkerland 2009;Kalenberg, Wanneperveen, Giethoorn, Blokzijl, Wetering, Groot Verlaat
bijlage 3 nota beantwoording zienswijzen deel1 algemeen definitief.pdf;Nota beantwoording zienswijzen Stadsvisie Steenwijk;Stadsontwikkeling en Woningbouw (Zienswijzen Stadsvisie);2025-10-01;College van B&W, Gemeenteraad, Regio Zwolle, Stedelijk Netwerk Nederland, Bureau Goudappel, Waterschap, Provincie, De Kamp, Spoorzone;Stadsvisie Steenwijk “Stad en Landschap dichtbij”, Afwegingskader wonen en werken, Woonagenda, Verstedelijkingsstrategie Regio Zwolle, Woningmarktonderzoek Steenwijkerland, Achtergrondrapport mobiliteit Stadsvisie Steenwijk, Ambitiedocument spoorzone;Steenwijk Centrum / Binnenstad, Woldmeenthe, Eeserwold, Tuk, Oostermeenthe
BIJLAGE 3 Overzicht kostenverhaal in de Omgevingswet.pdf;Overzicht kostenverhaal in de Omgevingswet;Omgevingswet;;;;
Bijlage 3 Rapport Gemeentearchivaris over mogelijke toetreding GR Collectie Overijssel.pdf;Rapport Gemeentearchivaris over toetreding GR Collectie Overijssel;Toetreding GR Collectie Overijssel;2025-03-13;Collectie Overijssel, Kermis- en Circusmuseum (KCM), Deventer, Zwolle, Roel Lensen (Gemeentearchivaris);Archiefwet 1995, Wet open overheid (WOO);Vollenhove, Blokzijl
